carte_id,compte_id,type_carte,date_expiration,statut
113,2696,Mastercard,2028-01-25,active
114,294,Mastercard,2026-11-09,active
115,6723,Visa,2025-02-17,expiree
116,5156,Visa,2025-01-29,active
117,3314,CIB,2027-12-19,active
118,5137,CIB,2028-12-18,expiree
119,5627,Mastercard,2025-07-25,active
120,6429,Mastercard,2026-08-07,active
121,2290,Mastercard,2024-02-17,expiree
122,4724,Mastercard,2027-03-27,active
123,4853,CIB,2027-06-05,active
124,6157,Mastercard,2028-04-21,active
125,436,Mastercard,2024-12-17,bloquee
126,6708,Mastercard,2028-03-30,active
127,3879,CIB,2025-07-25,active
128,1033,Visa,2025-03-23,expiree
129,5263,Visa,2026-05-26,active
130,4026,CIB,2025-11-25,active
131,1496,Visa,2028-09-10,active
132,3303,Visa,2025-10-21,active
133,810,Mastercard,2027-06-15,expiree
134,6767,CIB,2028-01-05,active
135,3333,Mastercard,2028-12-13,active
136,5310,Visa,2024-12-13,active
137,5735,CIB,2028-12-07,active
138,743,Visa,2024-12-31,active
139,5946,Mastercard,2025-02-02,active
140,656,Visa,2028-03-17,active
141,4023,CIB,2027-05-29,active
142,4387,Mastercard,2025-02-08,active
143,1923,CIB,2026-07-28,active
144,5532,CIB,2026-06-06,expiree
145,6318,Visa,2027-10-17,active
146,3047,Mastercard,2028-09-09,active
147,273,CIB,2024-03-12,active
148,4988,CIB,2024-07-22,active
149,5405,CIB,2026-03-13,active
150,3018,Visa,2024-07-06,active
151,5303,Mastercard,2028-04-30,active
152,1833,Mastercard,2026-08-11,bloquee
153,4796,CIB,2025-09-28,active
154,4651,Visa,2026-06-09,active
155,4337,CIB,2027-11-25,active
156,5871,CIB,2024-08-24,active
157,5725,Visa,2028-03-01,expiree
158,2382,Mastercard,2027-10-15,active
159,6392,Mastercard,2027-09-23,bloquee
160,3164,Mastercard,2025-01-24,active
161,2544,CIB,2026-01-22,active
162,6970,Visa,2028-05-23,expiree
163,5651,Visa,2026-09-13,active
164,3549,Mastercard,2025-01-10,expiree
165,3638,Mastercard,2026-12-29,active
166,4760,CIB,2027-11-20,active
167,315,CIB,2027-12-01,active
168,665,Mastercard,2027-10-05,active
169,3347,CIB,2027-03-05,active
170,2280,Visa,2024-03-02,active
171,2115,Visa,2026-03-25,active
172,5111,Visa,2026-12-27,active
173,1166,CIB,2025-07-23,active
174,6048,Mastercard,2027-04-01,active
175,1368,Mastercard,2024-06-11,active
176,3723,CIB,2025-05-20,active
177,1125,Mastercard,2027-12-28,active
178,5791,Mastercard,2027-09-01,active
179,4402,Mastercard,2025-04-28,expiree
180,2915,Visa,2027-09-22,active
181,5492,CIB,2025-02-24,expiree
182,252,Visa,2025-01-30,active
183,795,Visa,2027-07-23,active
184,6220,Mastercard,2024-05-10,active
185,4099,Mastercard,2025-04-30,expiree
186,1149,CIB,2026-05-15,active
187,4563,Visa,2027-07-01,active
188,2510,Mastercard,2025-06-12,active
189,601,CIB,2026-01-11,bloquee
190,1262,CIB,2028-11-15,active
191,1753,Visa,2025-07-11,active
192,12,Mastercard,2026-12-15,active
193,6193,Mastercard,2024-12-18,active
194,3644,CIB,2028-06-03,active
195,3825,Visa,2025-11-06,active
196,6315,Mastercard,2024-08-12,active
197,290,Visa,2025-06-14,active
198,6210,Mastercard,2028-03-07,active
199,368,Mastercard,2024-06-30,bloquee
200,4485,Visa,2026-01-31,bloquee
201,1051,Mastercard,2025-01-07,active
202,5066,Mastercard,2025-01-22,active
203,5132,CIB,2025-07-09,expiree
204,4446,Visa,2026-11-14,active
205,3853,Visa,2024-09-07,bloquee
206,2293,Mastercard,2025-07-07,active
207,5383,Visa,2026-06-10,active
208,493,Mastercard,2027-11-22,active
209,1551,CIB,2027-12-21,active
210,6492,Mastercard,2028-04-23,active
211,4363,Mastercard,2026-06-29,active
212,4339,Visa,2024-09-11,active
213,4275,CIB,2028-01-03,active
214,5769,Mastercard,2025-10-25,bloquee
215,5602,Visa,2025-01-01,active
216,2237,Visa,2026-12-23,active
217,6316,Visa,2025-10-07,active
218,3971,Visa,2025-04-04,active
219,5371,Mastercard,2024-05-17,active
220,5708,Visa,2027-05-20,active
221,6855,Visa,2026-03-31,active
222,6636,Mastercard,2028-09-01,active
223,372,Mastercard,2024-12-06,bloquee
224,1827,Mastercard,2024-11-21,active
225,3998,Mastercard,2026-08-24,active
226,6365,Visa,2025-09-02,active
227,6220,Mastercard,2024-06-22,active
228,3233,CIB,2027-03-29,active
229,4206,CIB,2024-04-18,active
230,4150,Visa,2024-06-05,active
231,6647,Mastercard,2027-02-13,active
232,902,CIB,2024-05-18,expiree
233,2865,Visa,2028-02-29,active
234,355,Visa,2027-07-11,active
235,353,Mastercard,2024-02-02,active
236,4504,Visa,2026-01-08,bloquee
237,2027,Mastercard,2027-05-18,active
238,3532,Mastercard,2024-01-30,active
239,3893,Visa,2024-09-21,active
240,330,Mastercard,2026-09-21,expiree
241,2546,Visa,2025-08-01,active
242,5281,CIB,2024-08-09,expiree
243,837,Mastercard,2028-04-29,active
244,1948,Mastercard,2025-06-16,active
245,1932,CIB,2024-08-27,active
246,3158,Visa,2025-03-29,active
247,6608,Visa,2026-12-17,active
248,2789,Visa,2028-09-10,active
249,5203,Mastercard,2024-09-26,active
250,4078,CIB,2028-02-14,active
251,2799,Mastercard,2028-06-06,expiree
252,5655,Visa,2027-09-16,active
253,5429,CIB,2028-10-04,active
254,3063,Visa,2028-05-15,active
255,2101,Mastercard,2028-05-07,active
256,6926,Visa,2026-12-28,expiree
257,6277,Visa,2027-04-23,active
258,4427,Mastercard,2028-05-27,active
259,238,Mastercard,2027-02-21,active
260,2584,Visa,2024-03-19,active
261,1549,Mastercard,2027-02-06,active
262,2186,CIB,2027-06-25,active
263,165,Mastercard,2028-01-01,expiree
264,6744,Visa,2028-10-06,active
265,2402,Mastercard,2024-09-27,active
266,1204,Visa,2028-01-07,active
267,1905,Mastercard,2028-11-02,active
268,1894,CIB,2025-03-23,active
269,5471,CIB,2026-05-14,expiree
270,3559,Mastercard,2025-05-05,active
271,4538,CIB,2025-01-26,active
272,2670,Mastercard,2028-11-18,expiree
273,5547,Visa,2025-03-15,expiree
274,314,CIB,2028-01-04,active
275,5594,Visa,2026-12-09,active
276,1127,CIB,2027-07-17,bloquee
277,5445,Visa,2028-04-21,expiree
278,325,CIB,2028-07-17,active
279,680,Mastercard,2024-03-01,active
280,2504,Mastercard,2025-07-03,active
281,2905,Mastercard,2026-10-20,expiree
282,2013,Mastercard,2027-01-21,active
283,1467,Mastercard,2028-02-26,active
284,1442,CIB,2028-02-13,active
285,1601,Visa,2026-09-06,bloquee
286,2578,Visa,2026-09-21,active
287,1049,Mastercard,2028-12-02,active
288,2015,CIB,2027-10-07,active
289,1051,Visa,2027-05-11,active
290,749,Mastercard,2024-01-14,active
291,1870,Mastercard,2026-10-06,expiree
292,2440,Visa,2028-12-10,active
293,44,CIB,2026-11-25,expiree
294,3511,Visa,2028-11-21,active
295,3306,Mastercard,2024-07-23,bloquee
296,1018,CIB,2024-09-23,active
297,1452,CIB,2024-01-12,active
298,2090,CIB,2028-11-16,active
299,956,CIB,2026-03-28,bloquee
300,3579,Mastercard,2024-06-17,expiree
301,2352,Mastercard,2028-12-07,active
302,5524,Mastercard,2024-07-15,bloquee
303,4975,CIB,2027-07-30,active
304,3926,Mastercard,2028-12-08,active
305,6488,Mastercard,2027-07-05,active
306,4428,Visa,2025-07-24,active
307,4130,Mastercard,2026-08-09,active
308,6248,Mastercard,2024-11-19,expiree
309,2535,Mastercard,2024-01-15,expiree
310,2133,CIB,2026-02-21,bloquee
311,3222,CIB,2024-11-17,expiree
312,1679,Mastercard,2025-09-05,active
313,5081,Mastercard,2026-04-23,expiree
314,1753,Visa,2025-07-16,active
315,2016,CIB,2026-07-25,active
316,1753,CIB,2028-01-29,active
317,5575,Visa,2028-11-25,active
318,2518,Mastercard,2027-10-10,active
319,4918,Mastercard,2024-11-09,active
320,1907,CIB,2027-02-09,active
321,6104,Mastercard,2024-02-15,active
322,2229,Visa,2025-06-06,active
323,260,Mastercard,2026-09-02,active
324,3498,Visa,2025-11-07,active
325,4637,CIB,2025-09-18,bloquee
326,3203,Visa,2024-07-22,active
327,847,CIB,2024-07-19,expiree
328,4156,Visa,2025-08-30,expiree
329,2825,Mastercard,2024-09-21,expiree
330,2818,Visa,2026-01-25,bloquee
331,6906,CIB,2025-05-31,active
332,1158,Mastercard,2027-06-28,active
333,1523,CIB,2025-04-02,active
334,5880,Visa,2028-11-04,bloquee
335,6433,CIB,2026-03-02,active
336,6013,CIB,2024-05-09,active
337,5562,Mastercard,2026-12-12,active
338,6073,Mastercard,2028-11-14,bloquee
339,1081,CIB,2028-05-16,bloquee
340,4645,CIB,2025-06-30,active
341,3185,CIB,2025-08-30,active
342,3278,Mastercard,2026-02-12,expiree
343,3677,Visa,2025-09-14,active
344,5619,Mastercard,2024-12-10,expiree
345,4511,Mastercard,2026-06-22,expiree
346,891,Mastercard,2024-11-08,active
347,113,Mastercard,2026-04-27,active
348,4909,CIB,2024-03-02,active
349,2565,Mastercard,2027-12-30,active
350,5408,CIB,2026-03-17,active
351,4547,CIB,2027-03-10,bloquee
352,850,Visa,2024-12-01,active
353,5756,CIB,2026-07-29,expiree
354,4230,CIB,2027-11-02,active
355,6459,Mastercard,2027-10-18,bloquee
356,573,Mastercard,2024-10-03,active
357,1830,CIB,2025-08-30,active
358,1137,CIB,2027-03-17,expiree
359,6021,CIB,2027-11-06,active
360,6087,Mastercard,2026-03-12,active
361,2800,Visa,2024-12-29,active
362,1557,CIB,2027-02-03,active
363,1298,Mastercard,2026-11-06,active
364,13,Mastercard,2027-04-30,expiree
365,4724,Visa,2026-07-05,expiree
366,5907,CIB,2026-04-24,active
367,6562,Mastercard,2025-01-25,expiree
368,5179,Mastercard,2026-05-24,active
369,4552,CIB,2024-06-27,active
370,971,Mastercard,2025-02-06,active
371,1753,CIB,2026-12-31,active
372,4455,CIB,2024-06-23,active
373,3585,CIB,2026-09-27,active
374,5686,Visa,2025-08-12,active
375,2277,Visa,2027-08-21,active
376,2342,Mastercard,2025-09-21,bloquee
377,5840,CIB,2027-02-07,active
378,1163,CIB,2027-12-10,expiree
379,5065,Mastercard,2026-02-07,active
380,5557,Mastercard,2028-11-23,active
381,3626,CIB,2026-04-18,active
382,4440,Visa,2027-07-31,active
383,5462,Mastercard,2024-10-28,active
384,1249,Mastercard,2027-02-26,expiree
385,6942,Mastercard,2026-10-31,active
386,2109,CIB,2026-04-16,bloquee
387,519,Mastercard,2028-10-31,active
388,3659,CIB,2025-02-03,active
389,5866,Mastercard,2026-01-01,expiree
390,666,CIB,2028-11-17,expiree
391,1629,CIB,2026-11-02,active
392,6838,Mastercard,2025-01-12,active
393,2217,CIB,2026-07-18,bloquee
394,931,Mastercard,2028-10-24,expiree
395,2847,Visa,2024-08-09,active
396,3361,CIB,2024-04-13,active
397,5023,Mastercard,2025-04-01,active
398,1544,CIB,2027-01-25,active
399,354,Mastercard,2024-03-11,bloquee
400,4036,Visa,2028-02-15,active
401,5054,Visa,2025-09-16,active
402,5012,Mastercard,2027-03-27,bloquee
403,2507,Visa,2027-11-07,expiree
404,4796,CIB,2028-02-26,active
405,6,CIB,2024-03-28,active
406,3851,Visa,2026-05-29,active
407,1829,Visa,2026-05-21,bloquee
408,4451,Visa,2027-01-31,expiree
409,2939,Visa,2024-07-13,active
410,5576,Visa,2028-10-17,active
411,573,CIB,2025-03-21,expiree
412,963,CIB,2025-10-16,active
413,40,Visa,2028-12-22,active
414,484,Visa,2024-10-18,active
415,2784,CIB,2027-10-16,active
416,6237,Visa,2026-12-15,bloquee
417,3490,Visa,2026-01-17,active
418,2036,CIB,2024-03-27,active
419,5377,Mastercard,2028-01-31,expiree
420,3181,Mastercard,2027-03-16,bloquee
421,3068,Mastercard,2025-02-27,expiree
422,2510,Visa,2025-10-16,expiree
423,2663,CIB,2028-09-29,active
424,3334,CIB,2027-07-11,active
425,6219,Visa,2025-10-05,expiree
426,6126,Visa,2024-06-13,active
427,3202,Visa,2025-10-09,active
428,4589,Visa,2027-06-14,active
429,2765,CIB,2026-03-27,expiree
430,1753,Visa,2027-02-11,active
431,6169,Visa,2026-06-22,bloquee
432,1277,Mastercard,2028-02-12,expiree
433,6807,Visa,2025-09-25,active
434,2528,CIB,2024-05-11,bloquee
435,4920,Visa,2028-08-26,expiree
436,1648,Visa,2028-07-08,active
437,4179,CIB,2024-02-22,expiree
438,2040,CIB,2025-05-27,bloquee
439,735,CIB,2027-03-14,active
440,6919,CIB,2028-06-06,active
441,929,CIB,2024-03-25,active
442,662,Visa,2026-01-01,bloquee
443,6077,Visa,2027-05-25,bloquee
444,5216,Visa,2025-03-12,expiree
445,3876,Mastercard,2026-09-10,active
446,3897,Mastercard,2026-08-19,active
447,693,Visa,2025-08-10,active
448,4896,CIB,2025-07-28,active
449,2703,CIB,2028-10-23,expiree
450,1760,Mastercard,2024-02-21,active
451,2507,CIB,2026-03-26,bloquee
452,1557,Visa,2025-12-01,active
453,6906,Mastercard,2024-08-21,active
454,102,CIB,2024-05-17,active
455,252,CIB,2025-08-17,active
456,3982,Mastercard,2025-03-06,active
457,4102,CIB,2026-01-20,active
458,2548,CIB,2024-10-05,active
459,5227,Visa,2025-11-15,active
460,5649,Visa,2027-10-13,active
461,3471,Visa,2026-07-07,active
462,571,Visa,2026-07-20,active
463,4268,CIB,2028-11-20,expiree
464,2547,CIB,2027-01-30,active
465,3596,CIB,2025-07-20,active
466,17,CIB,2024-12-13,bloquee
467,3972,CIB,2026-08-21,active
468,3340,CIB,2026-08-21,active
469,1527,Visa,2027-10-19,active
470,3998,Visa,2028-09-02,expiree
471,5066,Visa,2025-08-09,active
472,1834,Visa,2027-11-05,active
473,6702,CIB,2024-06-18,active
474,2731,CIB,2028-07-03,active
475,810,Visa,2025-10-10,active
476,2964,Visa,2024-06-11,active
477,5296,Visa,2028-04-27,expiree
478,599,Visa,2027-11-11,active
479,3717,Mastercard,2026-10-12,bloquee
480,1237,Visa,2027-09-02,active
481,610,CIB,2024-06-22,active
482,6611,Mastercard,2025-10-19,active
483,248,Visa,2025-05-07,active
484,5072,Mastercard,2027-08-27,active
485,1753,CIB,2025-06-25,active
486,1777,Mastercard,2026-06-06,active
487,1069,Visa,2025-10-27,active
488,6284,CIB,2026-12-16,active
489,6960,CIB,2027-02-15,bloquee
490,3812,Mastercard,2025-05-10,active
491,1844,CIB,2026-10-10,expiree
492,353,CIB,2028-10-27,active
493,3224,Visa,2026-07-16,active
494,2251,Mastercard,2027-08-21,expiree
495,4901,CIB,2025-06-28,active
496,4545,Mastercard,2028-04-27,active
497,4656,Mastercard,2028-03-26,active
498,6349,Mastercard,2026-10-01,active
499,5291,CIB,2024-01-14,active
500,6118,Mastercard,2027-02-09,bloquee
501,570,Mastercard,2027-12-12,active
502,6321,Mastercard,2026-05-20,expiree
503,730,Visa,2027-03-08,active
504,53,Mastercard,2025-03-02,expiree
505,3597,Mastercard,2028-04-12,active
506,3364,Visa,2027-08-12,active
507,6645,Mastercard,2027-01-14,active
508,5951,Visa,2026-07-19,active
509,4442,Visa,2027-04-25,active
510,1993,CIB,2027-02-27,active
511,3211,Visa,2027-07-21,active
512,5046,Mastercard,2024-01-01,expiree
513,6860,CIB,2025-05-20,active
514,1753,Visa,2025-07-14,active
515,1181,Visa,2025-11-27,active
516,1883,CIB,2026-05-25,active
517,4172,Visa,2028-03-10,active
518,3516,CIB,2024-10-25,expiree
519,3188,CIB,2027-12-12,active
520,5116,CIB,2024-10-11,active
521,1059,Visa,2026-10-18,active
522,6115,CIB,2026-01-16,expiree
523,5959,Mastercard,2025-11-25,expiree
524,2465,Mastercard,2028-04-03,expiree
525,3184,CIB,2024-07-25,active
526,3782,Visa,2026-12-17,bloquee
527,6532,CIB,2026-11-21,active
528,6002,CIB,2028-01-11,active
529,3488,Visa,2025-02-07,bloquee
530,6225,CIB,2024-05-17,active
531,977,Mastercard,2026-07-27,expiree
532,4970,Visa,2024-07-15,active
533,3104,CIB,2027-08-08,active
534,4607,Visa,2028-10-19,active
535,1047,Visa,2026-09-04,active
536,3052,CIB,2026-09-28,active
537,4246,CIB,2024-11-12,active
538,4906,CIB,2026-04-16,active
539,3948,CIB,2028-03-04,active
540,5650,Visa,2026-03-24,bloquee
541,3153,Mastercard,2026-04-26,active
542,171,CIB,2026-07-20,active
543,5527,Mastercard,2024-10-06,expiree
544,2029,CIB,2027-06-18,active
545,6215,Visa,2027-12-16,active
546,1877,Mastercard,2026-10-19,active
547,4067,Mastercard,2025-01-06,active
548,1299,CIB,2024-05-29,active
549,4974,Mastercard,2027-10-23,expiree
550,22,Mastercard,2028-12-04,bloquee
551,313,CIB,2027-06-02,active
552,4608,CIB,2026-05-06,active
553,3981,Visa,2025-06-17,expiree
554,2837,CIB,2025-09-28,active
555,6542,Mastercard,2027-01-23,active
556,3974,CIB,2025-05-12,active
557,672,CIB,2027-06-25,active
558,1414,Visa,2027-07-16,active
559,1186,Mastercard,2027-04-22,active
560,2737,CIB,2024-03-29,active
561,224,CIB,2025-07-07,active
562,1340,Visa,2024-02-03,active
563,2446,Mastercard,2024-08-27,active
564,288,CIB,2026-03-15,active
565,6374,CIB,2027-04-07,active
566,3631,Mastercard,2025-09-30,expiree
567,6542,Mastercard,2025-08-27,active
568,6919,CIB,2027-08-07,active
569,5178,Mastercard,2028-10-27,expiree
570,2903,CIB,2024-09-21,active
571,5896,CIB,2028-01-11,expiree
572,5758,Mastercard,2024-01-09,active
573,5601,Visa,2024-09-28,active
574,2498,Visa,2028-01-10,active
575,1728,Visa,2025-09-19,active
576,2545,Visa,2026-05-05,active
577,4803,Visa,2027-12-16,expiree
578,1065,Visa,2028-03-01,active
579,6550,Mastercard,2026-01-15,active
580,5538,Mastercard,2024-05-07,expiree
581,749,Visa,2025-06-18,active
582,547,CIB,2025-03-16,active
583,590,Mastercard,2026-05-25,active
584,2592,Mastercard,2024-12-14,active
585,5592,CIB,2024-10-31,active
586,2771,CIB,2027-01-02,active
587,370,Mastercard,2025-03-14,active
588,3708,CIB,2024-02-22,active
589,6884,Visa,2028-05-07,active
590,1436,Mastercard,2024-10-29,active
591,1340,CIB,2025-11-24,expiree
592,1038,Visa,2028-03-16,active
593,2982,Visa,2026-03-10,active
594,650,Mastercard,2028-01-09,active
595,3604,CIB,2024-10-09,active
596,2416,Visa,2026-12-15,active
597,2518,Mastercard,2028-04-05,active
598,1757,Visa,2024-09-10,active
599,3634,Visa,2028-02-20,active
600,6033,Mastercard,2026-06-13,active
601,887,Visa,2027-04-12,bloquee
602,84,CIB,2024-06-15,active
603,471,CIB,2025-03-01,bloquee
604,1432,Mastercard,2024-01-31,active
605,4117,Mastercard,2026-06-02,expiree
606,6932,Mastercard,2025-10-24,active
607,6264,Visa,2024-12-27,expiree
608,2659,CIB,2026-10-30,active
609,1084,Visa,2026-01-15,active
610,6596,Mastercard,2028-08-10,bloquee
611,6311,Mastercard,2024-03-25,active
612,6144,Visa,2028-06-24,active
613,6365,CIB,2026-03-08,active
614,6352,Mastercard,2027-09-26,active
615,3203,Mastercard,2025-03-31,active
616,602,Mastercard,2028-02-29,active
617,3323,Visa,2024-11-30,active
618,3928,Mastercard,2025-12-18,active
619,6378,Visa,2026-03-27,expiree
620,3533,Visa,2026-05-30,active
621,3309,Mastercard,2027-02-02,active
622,5613,Visa,2026-06-27,expiree
623,1731,Mastercard,2025-02-22,expiree
624,5555,CIB,2028-07-17,active
625,4298,Mastercard,2027-03-23,active
626,177,CIB,2025-12-13,expiree
627,2717,Visa,2024-09-12,active
628,6086,Mastercard,2025-04-27,active
629,6480,Visa,2025-11-26,expiree
630,6635,CIB,2028-03-31,active
631,5734,Visa,2025-10-28,active
632,5265,Visa,2027-10-03,expiree
633,1753,Mastercard,2025-04-16,active
634,1246,Visa,2026-09-12,bloquee
635,16,CIB,2025-09-24,expiree
636,2280,Mastercard,2024-10-31,active
637,5160,Visa,2025-07-14,active
638,4938,Visa,2024-05-15,active
639,752,CIB,2028-02-09,active
640,5186,Visa,2024-06-10,expiree
641,2559,Visa,2025-12-30,active
642,6578,CIB,2028-09-21,bloquee
643,4948,Visa,2025-12-03,bloquee
644,1722,Visa,2024-01-02,active
645,5766,Visa,2027-11-30,active
646,5957,Visa,2027-07-13,bloquee
647,1721,Visa,2028-06-26,active
648,4031,Visa,2024-07-08,active
649,3774,CIB,2028-10-18,expiree
650,6295,CIB,2024-10-16,active
651,1078,CIB,2026-04-19,active
652,1290,Mastercard,2028-10-06,active
653,1456,CIB,2024-01-07,active
654,2053,Visa,2026-09-18,active
655,3346,Visa,2025-08-05,active
656,4919,CIB,2024-11-02,expiree
657,4828,Visa,2024-02-09,active
658,6160,CIB,2025-11-01,active
659,1609,Mastercard,2025-08-31,expiree
660,336,Visa,2024-09-08,active
661,4988,Visa,2024-12-12,active
662,2395,Visa,2026-06-30,active
663,36,CIB,2028-05-21,active
664,5407,Visa,2026-08-08,active
665,5463,Visa,2028-11-14,expiree
666,5289,Visa,2025-02-24,active
667,1805,Mastercard,2028-03-20,active
668,5888,CIB,2027-09-03,bloquee
669,850,Visa,2025-03-31,active
670,1204,CIB,2028-04-12,expiree
671,1939,Mastercard,2025-05-20,bloquee
672,3153,CIB,2027-01-23,active
673,401,Mastercard,2027-04-07,active
674,6845,Visa,2027-01-10,active
675,5895,Visa,2024-09-21,active
676,6163,Mastercard,2028-03-11,active
677,3887,Visa,2027-08-17,active
678,615,Visa,2028-07-19,active
679,4057,Mastercard,2026-07-10,bloquee
680,1559,Mastercard,2027-09-21,active
681,1260,CIB,2025-01-27,active
682,4240,Visa,2026-11-20,expiree
683,4012,Visa,2024-03-17,bloquee
684,205,Visa,2027-04-14,expiree
685,5858,Mastercard,2028-01-04,expiree
686,2592,CIB,2028-01-15,bloquee
687,2564,CIB,2026-04-19,expiree
688,4893,CIB,2024-10-09,expiree
689,5965,Mastercard,2027-02-11,active
690,4234,Visa,2024-05-27,bloquee
691,1151,Visa,2024-08-29,active
692,2077,Mastercard,2025-08-24,bloquee
693,5158,Visa,2026-10-22,expiree
694,1016,Visa,2028-06-07,bloquee
695,2228,CIB,2024-09-25,active
696,4156,Visa,2025-12-23,active
697,3956,Visa,2027-04-06,expiree
698,3204,CIB,2025-06-25,active
699,1731,Visa,2028-11-23,active
700,3048,Mastercard,2026-11-11,bloquee
701,3014,Mastercard,2027-03-14,active
702,836,Mastercard,2024-10-13,active
703,3855,CIB,2024-06-15,active
704,3673,Visa,2027-01-07,bloquee
705,3057,Visa,2025-09-25,active
706,2773,Mastercard,2027-08-10,active
707,4192,CIB,2025-01-25,active
708,5241,Mastercard,2024-08-17,active
709,4780,CIB,2024-02-06,active
710,3873,Mastercard,2025-05-31,expiree
711,3197,CIB,2025-06-14,active
712,3920,CIB,2027-08-18,active
713,1595,Mastercard,2026-06-16,active
714,5797,Visa,2027-03-12,active
715,5245,Visa,2027-05-22,active
716,2046,Mastercard,2028-05-08,active
717,2402,Visa,2024-12-03,active
718,1325,Mastercard,2027-03-26,expiree
719,2537,CIB,2027-02-25,active
720,1000,Visa,2026-09-14,active
721,1993,Mastercard,2024-01-16,active
722,246,CIB,2026-03-22,active
723,6963,Mastercard,2024-07-07,expiree
724,4528,CIB,2024-03-24,active
725,5557,Visa,2026-11-17,active
726,4025,Mastercard,2028-04-10,active
727,2436,Mastercard,2026-03-21,active
728,6905,CIB,2027-10-24,active
