usage_id,client_id,date_connexion,canal,action
77,487,2020-12-31 19:13:27,BaridNet,telechargement releve
78,2422,2023-08-18 22:54:15,BaridNet,paiement facture
79,4897,2023-11-12 03:03:31,BBM,virement
80,179,2024-04-20 17:26:12,BBM,virement
81,4180,2020-09-10 21:41:34,BaridNet,consultation
82,466,2020-07-26 17:12:31,BBM,consultation
83,1683,2024-12-19 22:08:52,BBM,paiement facture
84,719,2023-03-02 20:31:19,BBM,consultation
85,1051,2024-03-08 13:46:17,BBM,paiement facture
86,477,2020-09-25 05:43:41,BaridNet,paiement facture
87,867,2020-02-04 11:10:54,BBM,virement
88,2642,2020-09-01 07:30:58,BBM,telechargement releve
89,2682,2020-10-31 04:13:29,BaridNet,consultation
90,4282,2020-11-01 02:55:46,BBM,paiement facture
91,1341,2022-04-30 07:26:25,BBM,virement
92,2664,2021-09-26 19:11:26,BaridNet,consultation
93,4697,2023-02-22 11:02:13,BaridNet,consultation
94,2370,2022-05-29 22:18:31,BBM,telechargement releve
95,3706,2024-06-18 14:36:24,BaridNet,consultation
96,361,2024-07-19 14:02:55,BaridNet,virement
97,2137,2024-02-26 03:55:15,BBM,virement
98,219,2020-12-31 04:12:03,BaridNet,telechargement releve
99,729,2023-10-17 00:03:39,BBM,paiement facture
100,4757,2021-03-16 07:13:53,BBM,consultation
101,163,2024-10-31 02:21:54,BBM,paiement facture
102,1195,2022-03-29 17:37:08,BBM,consultation
103,2117,2023-11-09 21:51:15,BaridNet,telechargement releve
104,1086,2024-07-13 12:11:17,BBM,telechargement releve
105,3831,2024-07-01 07:15:49,BBM,virement
106,113,2024-07-03 23:44:58,BaridNet,consultation
107,1124,2020-09-28 15:49:13,BBM,telechargement releve
108,1244,2023-09-23 07:51:33,BaridNet,virement
109,505,2024-10-03 11:11:37,BaridNet,paiement facture
110,4595,2022-03-26 08:03:26,BBM,telechargement releve
111,2113,2022-08-14 15:10:30,BaridNet,virement
112,2570,2023-02-07 06:01:24,BBM,consultation
113,1204,2023-07-09 23:50:28,BaridNet,consultation
114,4034,2024-02-16 13:47:13,BBM,virement
115,4584,2023-08-07 16:02:26,BaridNet,consultation
116,4794,2023-03-22 00:22:10,BBM,consultation
117,2561,2021-05-30 01:38:53,BBM,virement
118,4846,2023-04-22 09:39:36,BaridNet,telechargement releve
119,3917,2024-11-16 04:27:53,BaridNet,consultation
120,3739,2022-04-27 06:43:18,BBM,virement
121,973,2023-10-06 00:21:33,BaridNet,consultation
122,3201,2024-04-09 13:12:52,BaridNet,consultation
123,4597,2020-06-05 23:34:02,BaridNet,telechargement releve
124,3638,2022-01-11 09:04:25,BBM,consultation
125,4875,2021-12-18 10:51:31,BBM,consultation
126,2114,2022-09-27 10:17:41,BaridNet,telechargement releve
127,3959,2021-10-29 23:32:27,BBM,telechargement releve
128,4171,2024-10-24 21:21:56,BBM,virement
129,3903,2023-03-15 11:04:23,BBM,virement
130,1516,2020-09-21 18:13:11,BBM,paiement facture
131,4475,2024-06-09 10:00:23,BaridNet,telechargement releve
132,52,2020-04-30 23:50:37,BBM,paiement facture
133,666,2022-06-13 18:55:37,BBM,paiement facture
134,3196,2023-07-02 21:50:20,BaridNet,telechargement releve
135,727,2020-08-11 19:09:02,BaridNet,consultation
136,1075,2022-04-27 17:38:38,BBM,consultation
137,906,2023-01-25 05:54:02,BaridNet,paiement facture
138,4039,2023-10-15 11:37:50,BaridNet,paiement facture
139,4292,2021-06-04 09:14:29,BBM,telechargement releve
140,4680,2020-08-07 12:11:48,BBM,consultation
141,94,2024-05-22 21:08:07,BaridNet,virement
142,3258,2023-08-27 19:00:05,BBM,paiement facture
143,4548,2024-09-26 14:05:25,BBM,telechargement releve
144,101,2022-04-20 04:27:32,BBM,consultation
145,219,2021-06-04 20:12:21,BaridNet,telechargement releve
146,114,2024-12-18 23:43:01,BaridNet,consultation
147,2102,2023-08-26 23:00:39,BaridNet,consultation
148,2048,2020-02-14 17:56:33,BaridNet,telechargement releve
149,1335,2021-07-05 21:41:20,BaridNet,consultation
150,4474,2024-07-02 15:45:40,BBM,paiement facture
151,3161,2021-08-13 06:04:02,BaridNet,consultation
152,1185,2021-05-31 13:30:02,BaridNet,consultation
153,78,2022-03-15 06:13:56,BaridNet,telechargement releve
154,4748,2021-11-03 16:21:56,BaridNet,paiement facture
155,1916,2020-08-15 17:36:58,BBM,paiement facture
156,1817,2020-07-18 17:08:56,BaridNet,consultation
157,488,2022-10-30 18:39:18,BBM,virement
158,303,2020-08-30 22:56:56,BaridNet,consultation
159,3295,2023-11-13 23:29:40,BBM,telechargement releve
160,2315,2024-05-27 18:12:29,BaridNet,telechargement releve
161,3370,2022-12-30 08:24:09,BBM,paiement facture
162,447,2023-08-16 10:14:22,BBM,virement
163,4353,2023-09-14 14:49:29,BBM,consultation
164,491,2022-02-09 20:03:45,BBM,paiement facture
165,91067,2023-06-07 09:47:40,BaridNet,consultation
166,2115,2021-12-17 16:31:49,BBM,paiement facture
167,3371,2020-04-28 16:09:11,BBM,paiement facture
168,607,2024-09-19 00:14:23,BaridNet,paiement facture
169,2787,2024-09-27 17:33:41,BBM,virement
170,1912,2024-04-13 02:40:26,BBM,consultation
171,2254,2022-11-17 06:22:56,BBM,consultation
172,4672,2020-03-28 07:22:38,BBM,consultation
173,400,2023-10-12 16:00:41,BaridNet,telechargement releve
174,4821,2021-04-06 02:40:37,BBM,telechargement releve
175,1449,2024-04-25 04:39:42,BaridNet,consultation
176,1411,2023-01-29 03:57:20,BaridNet,paiement facture
177,1205,2024-05-19 10:27:41,BBM,telechargement releve
178,3961,2021-06-29 20:00:34,BBM,virement
179,498,2020-09-15 11:41:47,BBM,telechargement releve
180,2939,2021-10-03 18:06:55,BBM,paiement facture
181,3784,2022-02-23 20:48:04,BBM,consultation
182,3412,2023-08-09 11:45:28,BaridNet,paiement facture
183,4474,2020-05-15 14:02:57,BBM,telechargement releve
184,2728,2021-05-19 21:03:25,BaridNet,virement
185,1742,2023-02-16 10:03:37,BaridNet,virement
186,1334,2024-07-01 22:07:38,BaridNet,consultation
187,802,2023-08-31 22:12:11,BaridNet,telechargement releve
188,3751,2024-02-28 05:42:12,BBM,virement
189,1806,2021-06-07 15:38:39,BBM,consultation
190,2201,2024-08-16 01:32:41,BaridNet,telechargement releve
191,3711,2022-01-27 16:21:07,BaridNet,telechargement releve
192,1130,2020-12-19 05:59:07,BaridNet,consultation
193,964,2024-02-13 22:30:10,BBM,paiement facture
194,3989,2022-06-03 00:44:44,BBM,paiement facture
195,1349,2022-08-06 17:22:55,BaridNet,virement
196,536,2021-05-17 00:26:39,BBM,virement
197,2968,2020-07-08 07:31:13,BaridNet,telechargement releve
198,204,2020-04-15 06:59:01,BaridNet,consultation
199,3628,2024-12-20 16:22:30,BBM,telechargement releve
200,431,2020-05-27 21:19:43,BaridNet,virement
201,4984,2023-07-27 14:41:36,BBM,consultation
202,1879,2022-02-09 04:17:22,BaridNet,consultation
203,629,2020-04-26 22:21:36,BaridNet,consultation
204,1572,2020-11-07 04:05:59,BBM,telechargement releve
205,4735,2022-09-11 17:43:54,BaridNet,consultation
206,4907,2021-04-22 06:56:24,BBM,virement
207,3885,2022-08-25 20:13:13,BaridNet,telechargement releve
208,2207,2023-05-04 20:03:45,BBM,telechargement releve
209,903,2020-09-27 09:17:38,BaridNet,telechargement releve
210,3691,2023-11-29 01:54:48,BBM,paiement facture
211,4437,2021-08-12 03:42:38,BaridNet,telechargement releve
212,1570,2020-07-21 17:24:12,BaridNet,virement
213,441,2020-03-23 11:00:05,BBM,paiement facture
214,3337,2024-06-09 19:49:53,BaridNet,telechargement releve
215,1441,2023-06-06 15:25:13,BaridNet,virement
216,2633,2023-04-08 11:20:55,BaridNet,consultation
217,1313,2020-09-06 08:36:46,BaridNet,consultation
218,1120,2020-11-26 02:48:34,BaridNet,paiement facture
219,1400,2022-11-07 08:37:51,BBM,telechargement releve
220,639,2021-11-09 13:45:46,BaridNet,paiement facture
221,2592,2022-09-28 17:51:45,BBM,paiement facture
222,813,2024-06-04 03:55:42,BBM,consultation
223,61,2022-07-20 05:24:22,BaridNet,paiement facture
224,4527,2020-04-25 06:51:47,BBM,telechargement releve
225,1943,2023-08-29 00:03:34,BBM,paiement facture
226,700,2023-09-13 16:53:27,BaridNet,paiement facture
227,4509,2024-06-13 10:46:13,BaridNet,virement
228,377,2023-01-26 01:56:29,BaridNet,consultation
229,2910,2023-05-14 23:08:53,BaridNet,telechargement releve
230,572,2024-06-21 21:50:42,BaridNet,consultation
231,861,2020-09-24 19:25:51,BBM,telechargement releve
232,476,2024-11-19 08:31:50,BaridNet,paiement facture
233,3338,2023-06-22 11:31:25,BBM,consultation
234,4641,2024-08-11 14:31:18,BaridNet,virement
235,4036,2023-04-24 12:28:50,BBM,virement
236,2230,2021-08-13 07:18:11,BBM,virement
237,3775,2021-12-18 10:32:26,BBM,telechargement releve
238,2797,2021-01-27 15:05:11,BBM,virement
239,2883,2023-04-02 16:52:18,BBM,virement
240,1452,2024-07-28 22:04:37,BaridNet,virement
241,4551,2023-12-31 18:17:42,BBM,virement
242,4415,2022-09-19 19:37:28,BaridNet,virement
243,1789,2023-10-20 02:56:37,BBM,virement
244,2418,2021-07-01 13:58:28,BaridNet,virement
245,140,2020-12-05 18:06:59,BBM,consultation
246,4245,2020-10-04 17:34:00,BBM,telechargement releve
247,2183,2020-08-28 10:23:45,BaridNet,telechargement releve
248,1060,2022-07-12 22:08:44,BBM,telechargement releve
249,1964,2024-05-29 09:59:11,BaridNet,consultation
250,257,2021-08-30 10:41:14,BBM,telechargement releve
251,3989,2021-11-21 00:53:56,BBM,consultation
252,4442,2022-01-17 21:32:47,BBM,virement
253,1697,2021-12-09 12:01:46,BBM,consultation
254,754,2020-11-25 02:37:15,BBM,telechargement releve
255,3737,2023-06-17 19:39:52,BaridNet,telechargement releve
256,690,2023-10-27 04:27:59,BBM,telechargement releve
257,3952,2022-06-12 13:49:40,BaridNet,virement
258,455,2023-11-18 11:14:16,BaridNet,consultation
259,3268,2022-12-17 23:06:22,BBM,virement
260,4402,2021-11-01 00:24:22,BaridNet,telechargement releve
261,3295,2023-03-19 19:14:29,BBM,virement
262,3021,2023-01-07 10:24:04,BBM,consultation
263,1871,2024-10-23 04:00:39,BaridNet,virement
264,3649,2020-12-10 06:34:06,BaridNet,virement
265,4081,2023-01-10 16:35:46,BBM,telechargement releve
266,2541,2022-07-05 21:40:22,BaridNet,telechargement releve
267,2341,2022-01-25 14:29:47,BBM,telechargement releve
268,3350,2021-06-29 10:59:53,BaridNet,virement
269,3299,2024-01-22 13:26:07,BaridNet,paiement facture
270,1120,2021-10-23 12:19:47,BBM,consultation
271,4072,2021-02-21 17:15:59,BaridNet,paiement facture
272,2287,2021-07-13 12:06:17,BaridNet,virement
273,91067,2022-02-06 12:30:17,BBM,consultation
274,1702,2021-01-09 19:58:45,BBM,telechargement releve
275,3040,2020-12-08 18:11:32,BaridNet,paiement facture
276,1258,2020-08-30 21:46:22,BaridNet,telechargement releve
277,1937,2022-02-12 20:30:56,BaridNet,consultation
278,3709,2023-09-09 01:41:10,BBM,telechargement releve
279,3311,2024-11-20 05:24:43,BBM,paiement facture
280,967,2023-08-17 05:58:55,BaridNet,consultation
281,2875,2021-10-16 09:28:11,BBM,paiement facture
282,4269,2022-10-29 18:39:16,BaridNet,telechargement releve
283,2383,2024-04-12 18:41:34,BBM,telechargement releve
284,1323,2022-06-24 17:51:13,BaridNet,consultation
285,4812,2024-05-30 21:51:12,BBM,consultation
286,4525,2022-11-19 19:04:29,BaridNet,consultation
287,4472,2023-11-18 02:08:21,BBM,telechargement releve
288,754,2021-06-13 09:49:25,BaridNet,telechargement releve
289,4027,2020-09-22 16:34:09,BaridNet,virement
290,1202,2022-08-10 00:21:12,BBM,virement
291,3231,2022-04-27 18:47:00,BaridNet,paiement facture
292,944,2023-06-09 01:18:42,BaridNet,paiement facture
293,1511,2022-11-24 08:07:02,BaridNet,consultation
294,2059,2023-01-14 17:31:01,BaridNet,paiement facture
295,1425,2020-12-02 06:53:59,BaridNet,consultation
296,1301,2022-08-12 18:21:00,BaridNet,consultation
297,461,2023-09-20 13:58:05,BBM,telechargement releve
298,847,2024-07-28 04:52:43,BaridNet,telechargement releve
299,4731,2023-10-09 22:20:15,BBM,paiement facture
300,1649,2020-07-20 19:36:48,BaridNet,consultation
301,4832,2020-02-19 00:34:08,BBM,telechargement releve
302,4973,2021-11-27 23:51:46,BBM,consultation
303,3704,2020-07-20 17:37:29,BBM,consultation
304,2444,2020-02-08 15:24:23,BBM,telechargement releve
305,91067,2022-09-03 21:30:38,BBM,consultation
306,1880,2021-07-23 03:58:53,BBM,telechargement releve
307,1050,2024-04-21 12:03:12,BaridNet,virement
308,3274,2024-12-25 17:03:13,BaridNet,consultation
309,133,2022-10-25 16:33:17,BBM,telechargement releve
310,1747,2022-08-08 10:02:41,BaridNet,telechargement releve
311,1087,2023-01-14 11:44:25,BaridNet,telechargement releve
312,56,2020-10-01 23:57:43,BaridNet,consultation
313,2927,2024-03-09 16:33:40,BBM,consultation
314,2430,2024-08-23 19:18:32,BaridNet,telechargement releve
315,2707,2022-04-21 06:38:01,BaridNet,consultation
316,3631,2020-12-18 17:30:06,BBM,paiement facture
317,1585,2022-12-08 21:00:02,BBM,telechargement releve
318,1434,2023-03-15 22:21:15,BBM,consultation
319,91067,2023-02-24 11:22:13,BaridNet,consultation
320,2796,2020-08-02 16:41:02,BBM,telechargement releve
321,262,2022-04-06 10:49:10,BaridNet,consultation
322,4575,2022-01-15 14:22:15,BBM,paiement facture
323,71,2023-11-15 07:27:03,BaridNet,consultation
324,3579,2023-10-11 06:11:30,BBM,virement
325,3885,2022-01-21 18:59:36,BaridNet,paiement facture
326,1844,2021-03-22 03:26:09,BaridNet,consultation
327,2310,2023-06-09 15:54:09,BaridNet,telechargement releve
328,3158,2023-10-14 05:31:22,BBM,telechargement releve
329,968,2021-01-13 19:28:27,BBM,telechargement releve
330,2207,2020-02-25 09:48:17,BaridNet,consultation
331,2567,2020-01-21 17:53:40,BBM,telechargement releve
332,257,2024-06-16 10:40:19,BBM,consultation
333,3605,2023-10-04 16:19:46,BBM,paiement facture
334,4892,2020-04-08 14:32:45,BBM,paiement facture
335,2029,2022-04-22 19:06:45,BaridNet,consultation
336,3981,2020-09-26 14:55:03,BaridNet,paiement facture
337,2405,2022-08-10 08:33:52,BBM,virement
338,2643,2024-09-25 03:13:54,BBM,virement
339,3848,2024-02-28 05:40:53,BBM,virement
340,4524,2023-03-31 03:30:42,BaridNet,paiement facture
341,2334,2021-07-08 01:41:22,BaridNet,virement
342,4400,2023-04-08 14:03:22,BBM,paiement facture
343,863,2022-07-16 02:31:45,BaridNet,virement
344,205,2022-07-06 10:52:01,BaridNet,consultation
345,2830,2020-04-03 23:16:22,BaridNet,consultation
346,4532,2020-03-29 13:30:42,BBM,paiement facture
347,3269,2020-05-20 05:15:54,BBM,telechargement releve
348,360,2023-10-26 09:49:04,BBM,consultation
349,1579,2021-09-22 08:39:44,BaridNet,consultation
350,4276,2023-03-12 06:17:15,BaridNet,virement
351,91067,2022-04-01 17:57:05,BBM,paiement facture
352,4017,2023-04-26 00:44:31,BBM,virement
353,3711,2024-11-03 22:03:36,BBM,telechargement releve
354,4842,2023-01-15 21:39:04,BBM,virement
355,2797,2024-01-30 08:09:02,BaridNet,telechargement releve
356,2533,2021-01-13 15:00:26,BaridNet,paiement facture
357,183,2020-08-23 03:29:00,BBM,paiement facture
358,1443,2022-03-03 06:12:38,BBM,virement
359,551,2024-11-02 22:54:32,BBM,telechargement releve
360,13,2022-06-30 22:52:07,BaridNet,telechargement releve
361,552,2023-08-17 05:26:20,BaridNet,virement
362,2130,2023-05-29 21:36:07,BBM,telechargement releve
363,3414,2023-12-08 22:16:53,BaridNet,consultation
364,764,2024-07-12 12:29:04,BBM,paiement facture
365,123,2023-02-14 06:35:43,BBM,consultation
366,2896,2022-04-27 18:09:15,BBM,virement
367,1821,2021-09-22 19:22:08,BBM,consultation
368,4589,2020-08-10 17:40:45,BBM,consultation
369,388,2024-02-24 09:43:06,BaridNet,virement
370,1942,2020-09-11 00:12:19,BBM,consultation
371,1243,2024-12-07 12:21:23,BBM,telechargement releve
372,4922,2023-12-05 09:00:30,BaridNet,virement
373,3251,2021-05-12 17:36:14,BaridNet,telechargement releve
374,91067,2023-09-19 01:32:26,BaridNet,paiement facture
375,3575,2021-09-10 00:12:50,BaridNet,consultation
376,4001,2020-07-25 00:20:43,BaridNet,telechargement releve
377,165,2024-11-01 23:39:33,BBM,paiement facture
378,792,2024-07-09 05:45:55,BBM,paiement facture
379,1759,2020-01-30 04:19:41,BBM,virement
380,2447,2020-12-07 06:09:23,BBM,telechargement releve
381,3042,2022-07-19 08:50:01,BaridNet,paiement facture
382,1002,2020-03-11 01:45:48,BaridNet,virement
383,3946,2023-03-28 02:52:24,BBM,consultation
384,3,2024-12-25 08:40:38,BBM,virement
385,2900,2020-04-10 18:02:34,BaridNet,virement
386,2715,2022-02-15 01:50:24,BBM,virement
387,1952,2024-08-21 03:25:56,BBM,virement
388,2159,2023-04-01 20:48:35,BBM,telechargement releve
389,473,2020-11-10 01:14:24,BBM,telechargement releve
390,1211,2021-06-09 11:44:20,BBM,telechargement releve
391,4952,2022-02-10 00:57:14,BBM,paiement facture
392,4617,2022-07-15 05:10:08,BaridNet,telechargement releve
393,2260,2022-06-08 02:16:16,BaridNet,paiement facture
394,541,2022-01-31 02:56:48,BBM,paiement facture
395,787,2023-03-23 09:45:40,BBM,consultation
396,414,2023-04-26 17:29:59,BaridNet,consultation
397,1857,2024-08-27 19:42:29,BBM,virement
398,193,2024-09-18 12:39:28,BaridNet,paiement facture
399,1555,2022-03-20 21:43:22,BBM,virement
400,4893,2023-09-09 04:50:14,BBM,telechargement releve
401,4272,2024-07-19 04:01:57,BBM,consultation
402,1792,2022-05-16 13:28:15,BaridNet,consultation
403,536,2020-12-24 06:58:50,BBM,paiement facture
404,4119,2024-08-13 06:26:20,BaridNet,virement
405,799,2024-11-21 04:18:17,BBM,virement
406,4673,2020-05-06 12:04:27,BaridNet,paiement facture
407,1806,2020-09-07 06:18:36,BaridNet,paiement facture
408,4323,2020-02-13 19:18:57,BaridNet,consultation
409,1086,2024-06-28 21:19:53,BBM,virement
410,420,2023-04-23 16:48:06,BaridNet,paiement facture
411,1436,2024-06-03 02:51:52,BaridNet,telechargement releve
412,2630,2023-01-04 09:30:28,BaridNet,telechargement releve
413,4510,2020-04-13 20:30:30,BBM,paiement facture
414,2385,2022-03-15 03:57:02,BaridNet,telechargement releve
415,2953,2022-08-26 17:56:42,BBM,paiement facture
416,1166,2023-11-26 04:23:52,BaridNet,consultation
417,3941,2022-05-20 19:06:49,BaridNet,consultation
418,526,2021-05-24 23:04:21,BBM,paiement facture
419,288,2024-08-26 23:43:48,BBM,consultation
420,367,2022-05-26 04:33:43,BaridNet,telechargement releve
421,4944,2021-10-22 10:41:06,BBM,telechargement releve
422,373,2023-04-06 19:24:00,BaridNet,virement
423,4918,2020-11-30 18:00:19,BaridNet,telechargement releve
424,1,2020-03-11 12:13:12,BaridNet,telechargement releve
425,1103,2024-12-12 08:09:43,BBM,virement
426,91067,2022-11-10 06:44:33,BBM,paiement facture
427,2976,2023-07-24 20:37:28,BBM,telechargement releve
428,143,2021-09-11 08:25:52,BBM,consultation
429,2471,2024-08-30 20:02:41,BBM,telechargement releve
430,2027,2024-07-23 20:08:41,BBM,telechargement releve
431,1000,2022-04-13 13:31:21,BBM,consultation
432,4464,2020-06-02 18:09:32,BaridNet,telechargement releve
433,1365,2022-03-16 16:59:46,BBM,consultation
434,2254,2024-08-18 07:53:16,BBM,paiement facture
435,3417,2021-08-22 11:52:07,BBM,paiement facture
436,3975,2020-10-31 22:53:11,BBM,telechargement releve
437,1020,2022-10-16 11:02:14,BBM,virement
438,1255,2021-05-10 08:23:48,BaridNet,virement
439,4401,2022-08-07 08:26:43,BBM,telechargement releve
440,4239,2022-11-30 04:30:29,BaridNet,virement
441,2393,2022-10-01 07:51:00,BaridNet,paiement facture
442,4694,2022-04-07 07:24:39,BaridNet,telechargement releve
443,69,2021-04-03 20:34:30,BBM,paiement facture
444,1967,2022-12-31 03:44:57,BaridNet,telechargement releve
445,561,2021-12-21 18:39:22,BBM,paiement facture
446,4112,2024-10-05 19:24:52,BBM,paiement facture
447,2863,2021-02-04 09:34:17,BBM,virement
448,2801,2023-10-17 08:40:46,BBM,telechargement releve
449,469,2023-07-25 20:58:47,BaridNet,consultation
450,3667,2021-08-20 02:56:23,BBM,consultation
451,989,2023-11-19 20:35:47,BaridNet,consultation
452,509,2021-04-25 10:21:10,BBM,virement
453,2498,2021-03-07 06:52:35,BaridNet,telechargement releve
454,1145,2020-08-24 17:36:26,BaridNet,paiement facture
455,1537,2021-08-13 15:00:07,BaridNet,paiement facture
456,777,2021-03-21 22:19:22,BBM,consultation
457,953,2023-01-05 06:59:31,BaridNet,telechargement releve
458,1622,2020-12-17 01:34:45,BBM,telechargement releve
459,1851,2022-09-09 13:06:20,BaridNet,consultation
460,706,2022-05-13 18:29:40,BBM,consultation
461,4694,2024-08-28 18:25:28,BaridNet,paiement facture
462,3689,2020-02-21 11:48:33,BBM,paiement facture
463,1094,2024-09-12 09:05:29,BBM,paiement facture
464,988,2022-11-19 12:47:40,BBM,telechargement releve
465,1335,2024-10-19 10:02:01,BaridNet,virement
466,1178,2021-01-18 00:48:26,BaridNet,consultation
467,1611,2024-11-24 06:58:15,BaridNet,paiement facture
468,2146,2022-07-02 02:49:49,BBM,telechargement releve
469,1426,2022-06-17 12:47:13,BBM,consultation
470,4410,2020-11-06 23:45:42,BBM,paiement facture
471,2609,2020-02-02 23:08:23,BaridNet,telechargement releve
472,1492,2022-09-04 18:48:45,BBM,paiement facture
473,859,2020-03-14 10:35:12,BaridNet,virement
474,1575,2021-11-24 20:02:12,BBM,virement
475,4637,2023-07-04 00:01:41,BaridNet,consultation
476,4651,2021-05-25 14:37:26,BaridNet,virement
477,1340,2023-04-20 16:05:11,BaridNet,virement
478,2989,2021-02-09 00:49:43,BaridNet,virement
479,1075,2024-06-21 18:51:11,BaridNet,telechargement releve
480,2222,2021-04-05 01:11:48,BBM,consultation
481,4746,2024-06-16 00:38:08,BBM,paiement facture
482,3629,2020-07-15 04:28:34,BaridNet,paiement facture
483,4679,2024-10-20 14:11:25,BBM,telechargement releve
484,3290,2022-08-15 00:10:35,BaridNet,virement
485,2837,2023-07-16 16:58:08,BBM,consultation
486,4446,2024-01-25 02:57:07,BBM,paiement facture
487,4172,2020-08-19 16:49:48,BBM,telechargement releve
488,2942,2020-01-29 05:42:30,BaridNet,virement
489,277,2020-03-01 21:06:01,BBM,consultation
490,1474,2020-02-16 15:26:16,BBM,telechargement releve
491,2058,2022-04-28 08:47:04,BaridNet,virement
492,2456,2021-04-24 16:49:39,BBM,telechargement releve
493,1804,2022-03-18 05:27:16,BaridNet,virement
494,773,2022-06-16 22:43:00,BBM,telechargement releve
495,4476,2021-05-08 06:19:50,BBM,virement
496,583,2020-05-21 03:13:11,BaridNet,telechargement releve
497,1482,2021-08-29 15:50:38,BaridNet,consultation
498,927,2023-03-15 15:05:34,BBM,paiement facture
499,3409,2022-01-09 16:42:53,BBM,virement
500,4110,2024-03-20 02:25:26,BaridNet,telechargement releve
501,875,2022-02-15 07:15:57,BaridNet,virement
502,3317,2022-05-19 07:53:52,BBM,paiement facture
503,3093,2022-11-26 00:04:23,BaridNet,paiement facture
